ph_mode,ph_metric,other_metric,n,pearson,spearman
skip_vr,betti_curve_area_h1,std_pairwise_distance,1664,-0.1278106686668939,0.17051440889217445
skip_vr,betti_curve_area_h1,q10_pairwise_distance,1664,0.9107628207064405,0.9244326609689065
skip_vr,betti_curve_area_h1,q50_pairwise_distance,1664,0.004140504071897368,0.34329501848208605
skip_vr,betti_curve_area_h1,q90_pairwise_distance,1664,-0.0017326347813853063,0.3417819675538642
skip_vr,betti_curve_area_h1,projection_residual,208,-0.17875819002848767,0.003659653277550154
skip_vr,betti_curve_peak_h1,effective_rank,1664,0.6403459900966144,0.8824470054943894
skip_vr,betti_curve_peak_h1,top_k_variance_fraction,1664,-0.6034032510749835,-0.8334971000190989
skip_vr,betti_curve_peak_h1,mean_pairwise_distance,1664,0.3488166291961388,0.3632184645214149
skip_vr,betti_curve_peak_h1,median_pairwise_distance,1664,0.31801985517082737,0.36142996001753686
skip_vr,betti_curve_peak_h1,std_pairwise_distance,1664,0.20410106382643634,0.16632944639366357
skip_vr,betti_curve_peak_h1,q10_pairwise_distance,1664,0.8136183983262532,0.785688291890175
skip_vr,betti_curve_peak_h1,q50_pairwise_distance,1664,0.31801985517082737,0.36142996001753686
skip_vr,betti_curve_peak_h1,q90_pairwise_distance,1664,0.30782031824167927,0.3530247345935583
skip_vr,betti_curve_peak_h1,projection_residual,208,-0.03870662542768151,0.12475286250368144
skip_vr,betti_curve_change_h1,effective_rank,1664,0.6643464499737814,0.5093192806930537
skip_vr,betti_curve_change_h1,top_k_variance_fraction,1664,-0.6260493532351886,-0.3661072471968918
skip_vr,betti_curve_change_h1,mean_pairwise_distance,1664,-0.14118401323590293,0.018312961440534237
skip_vr,betti_curve_change_h1,median_pairwise_distance,1664,-0.16654752600231582,0.022543976457016026
skip_vr,betti_curve_change_h1,std_pairwise_distance,1664,-0.23858064877948837,-0.11495717788523108
skip_vr,betti_curve_change_h1,q10_pairwise_distance,1664,0.474393332529367,0.225624348965798
skip_vr,betti_curve_change_h1,q50_pairwise_distance,1664,-0.16654752600231582,0.022543976457016026
skip_vr,betti_curve_change_h1,q90_pairwise_distance,1664,-0.1691891814900803,0.018495263457844337
skip_vr,betti_curve_change_h1,projection_residual,208,-0.4074096835633133,-0.33718230260853205
event_driven,total_persistence_h1,effective_rank,1664,0.7311958658786024,0.9105954111628729
event_driven,total_persistence_h1,top_k_variance_fraction,1664,-0.6990991591611694,-0.7971491318310925
event_driven,total_persistence_h1,mean_pairwise_distance,1664,0.055152685487900706,0.36678277330500053
event_driven,total_persistence_h1,median_pairwise_distance,1664,0.011561606433139365,0.350910296450313
